labels,method,auc,wss95,recall@10%,floor_f2,f2@0.5,prec@0.5,rec@0.5,read@0.5,t_star,f2@t*,prec@t*,rec@t*,read@t*,f2@own,prec@own,rec@own,read@own
0,"BM25 must-terms, supplied brief",0.6966,0.2655,0.3062,0.2936,0.1749,0.192,0.2785,0.1061,0.2662,0.3739,0.1528,0.7322,0.5041,,,,
0,LLM gemma-4-31b-it P1,0.7615,0.2251,0.4232,0.2936,0.3392,0.2769,0.4105,0.0697,0.2288,0.5254,0.3317,0.8012,0.3826,0.3615,0.3595,0.4105,0.0668
0,LLM gemma-4-31b-it P2,0.7772,0.3313,0.4593,0.2936,0.3001,0.2518,0.4697,0.1117,0.3525,0.5115,0.3342,0.711,0.3298,0.2849,0.2434,0.4836,0.1475
0,LLM gemma-4-31b-it P2 · B0 raw brief,0.7773,0.2496,0.4514,0.2936,0.3449,0.3244,0.5296,0.1231,0.34,0.5312,0.3282,0.6948,0.2648,0.3485,0.2783,0.5591,0.1466
0,LLM gemma-4-31b-it P2 · B✗ shuffled brief,0.4984,-0.0161,0.0973,0.2936,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
0,LLM gpt-oss-20b P1,0.7813,0.1969,0.4769,0.2935,0.3962,0.411,0.4554,0.0836,0.2475,0.5203,0.312,0.6791,0.2202,0.3962,0.411,0.4554,0.0836
0,LLM gpt-oss-20b P2,0.802,0.2542,0.4934,0.2938,0.4006,0.357,0.5086,0.0981,0.22,0.537,0.2566,0.7805,0.2932,0.3997,0.3567,0.5096,0.0987
0,LLM nemotron-3-super-120b-a12b P2,0.8147,0.3117,0.512,0.2936,0.4024,0.3378,0.5771,0.1179,0.2962,0.5313,0.3832,0.7101,0.2653,0.4039,0.3382,0.5743,0.1169
0,LLM qwen3.5-397b-a17b P2,0.7928,0.3336,0.4486,0.2936,0.3824,0.5195,0.4003,0.0795,0.2038,0.533,0.3344,0.8125,0.4197,0.3977,0.3526,0.5076,0.1235
0,cosine-to-brief (Jasper),0.7684,0.3432,0.3787,0.2936,0.3263,0.1336,0.8016,0.5313,0.6262,0.5067,0.3259,0.684,0.317,,,,
0,cosine-to-brief (Qwen3-4B),0.774,0.377,0.4132,0.2936,0.338,0.1417,0.7821,0.4518,0.5588,0.4979,0.3038,0.7534,0.3762,,,,
60,LLM gemma-4-31b-it P2 · B2 induced brief,0.834,0.3385,0.5435,0.2936,0.5031,0.3282,0.6645,0.1509,0.4212,0.5786,0.4114,0.766,0.2765,0.4882,0.3019,0.6738,0.1688
60,LogReg on Qwen3-4B embedding,0.8443,0.417,0.4893,0.2936,0.413,0.2014,0.7902,0.3033,0.6412,0.5386,0.3119,0.7594,0.2499,,,,
60,"LogReg on lexical block, induced brief",0.7633,0.334,0.3938,0.2936,0.3336,0.1671,0.679,0.3198,0.5675,0.4513,0.3009,0.7054,0.3789,,,,
60,"LogReg on lexical block, supplied brief",0.7186,0.2688,0.3179,0.2936,0.3032,0.1384,0.68,0.3715,0.57,0.3962,0.1536,0.708,0.426,,,,
60,LogReg on query-conditioned block,0.777,0.382,0.4078,0.2936,0.3592,0.1746,0.7316,0.3206,0.5913,0.4728,0.3138,0.7574,0.384,,,,
in-silo,"Ensemble blend, induced brief",0.8925,0.5056,0.6151,0.2936,0.5077,0.395,0.5987,0.1115,0.4138,0.6459,0.4786,0.7601,0.1824,,,,
in-silo,"Ensemble blend, induced brief + cosine",0.8933,0.4942,0.6064,0.2936,0.5074,0.4115,0.5903,0.1063,0.4062,0.6492,0.4704,0.7759,0.1869,,,,
in-silo,"Ensemble blend, supplied brief",0.8909,0.4913,0.6005,0.2936,0.5016,0.3909,0.6024,0.1111,0.3875,0.6465,0.4438,0.7889,0.1973,,,,
