use_case,check,severity,kind,what,cost,fix
tiri/carbon_capture,must_thin,warn,exact,There are fewer must-include terms than the measured recommendation.,"⚠️ **Recommendation, not a measured defect at this size.** 5–8 is what pays on the benchset corpus; the *measured* penalty is for dropping to one term, and on TIRI's own use cases that penalty is only −0.039. This check fires on 4 of TIRI's 6 specs and 0 of 28 benchset briefs.","Consider adding a few more, but treat this as advice rather than a defect."
tiri/cement_binders,must_thin,warn,exact,There are fewer must-include terms than the measured recommendation.,"⚠️ **Recommendation, not a measured defect at this size.** 5–8 is what pays on the benchset corpus; the *measured* penalty is for dropping to one term, and on TIRI's own use cases that penalty is only −0.039. This check fires on 4 of TIRI's 6 specs and 0 of 28 benchset briefs.","Consider adding a few more, but treat this as advice rather than a defect."
tiri/ner,must_thin,warn,exact,There are fewer must-include terms than the measured recommendation.,"⚠️ **Recommendation, not a measured defect at this size.** 5–8 is what pays on the benchset corpus; the *measured* penalty is for dropping to one term, and on TIRI's own use cases that penalty is only −0.039. This check fires on 4 of TIRI's 6 specs and 0 of 28 benchset briefs.","Consider adding a few more, but treat this as advice rather than a defect."
tiri/soil_microbiome,—,clean,,No findings.,,
tiri/solar_leo,nice_single,warn,exact,"There is exactly one nice-to-have term, which is nearly as bad as having none.","Measured specifically to price this check. One term costs −0.168 (set B) / −0.069 (TIRI) at zero labels against **−0.215 / −0.118** for deleting the field outright — so a single term recovers only about a quarter of the field's value. In absolute terms on set B: a full list scores 0.715, one term 0.547, none 0.500.",Add ≥5 discriminative phrases. Going from 1 to 5 buys far more than going from 0 to 1.
tiri/solar_leo,must_thin,warn,exact,There are fewer must-include terms than the measured recommendation.,"⚠️ **Recommendation, not a measured defect at this size.** 5–8 is what pays on the benchset corpus; the *measured* penalty is for dropping to one term, and on TIRI's own use cases that penalty is only −0.039. This check fires on 4 of TIRI's 6 specs and 0 of 28 benchset briefs.","Consider adding a few more, but treat this as advice rather than a defect."
tiri/tech_forecasting,—,clean,,No findings.,,
bench/nykvist_evcharging,—,clean,,No findings.,,
bench/roadfreight_metareview,—,clean,,No findings.,,
bench/synergy_appenzeller-herzog_2019,—,clean,,No findings.,,
bench/synergy_bos_2018,—,clean,,No findings.,,
bench/synergy_brouwer_2019,—,clean,,No findings.,,
bench/synergy_chou_2003,—,clean,,No findings.,,
bench/synergy_chou_2004,—,clean,,No findings.,,
bench/synergy_donners_2021,—,clean,,No findings.,,
bench/synergy_hall_2012,—,clean,,No findings.,,
bench/synergy_jeyaraman_2020,—,clean,,No findings.,,
bench/synergy_leenaars_2019,—,clean,,No findings.,,
bench/synergy_leenaars_2020,—,clean,,No findings.,,
bench/synergy_meijboom_2021,—,clean,,No findings.,,
bench/synergy_menon_2022,—,clean,,No findings.,,
bench/synergy_moran_2021,—,clean,,No findings.,,
bench/synergy_muthu_2021,—,clean,,No findings.,,
bench/synergy_nelson_2002,—,clean,,No findings.,,
bench/synergy_oud_2018,—,clean,,No findings.,,
bench/synergy_radjenovic_2013,—,clean,,No findings.,,
bench/synergy_sep_2021,—,clean,,No findings.,,
bench/synergy_smid_2020,—,clean,,No findings.,,
bench/synergy_van_de_schoot_2018,—,clean,,No findings.,,
bench/synergy_van_der_valk_2021,—,clean,,No findings.,,
bench/synergy_van_der_waal_2022,—,clean,,No findings.,,
bench/synergy_van_dis_2020,—,clean,,No findings.,,
bench/synergy_walker_2018,—,clean,,No findings.,,
bench/synergy_wassenaar_2017,—,clean,,No findings.,,
bench/synergy_wolters_2018,—,clean,,No findings.,,
