use_case_key,use_case_name,objective,family,n_papers,positive,prevalence,too_small_to_split
synergy_brouwer_2019,Psychological predictors of depression relapse recurrence,"Psychological factors hypothesized to account for relapse of major depressive disorder (MDD) roughly originate from five main theories: Cognitive, diathesis-stress, behavioural, psychodynamic, and personality-based. In a meta-analysis we investigated prospective, longitudinal evidence for these leading psychological theories and their factors in relation to depressive relapse. Included studies needed to establish history of MDD and prospective depressive relapse through a clinical interview, have a longitudinal and prospective design, and measure at least one theory-derived factor before relapse. We identified 66 eligible articles out of 43,586 records published up to November 2018. Pooled odds ratios (OR) indicated a significant relationship between the cognitive, behavioural, and personality-based theories and depressive relapse (cognitive: k = 17, OR = 1.24, 95% CI = 1.10-1.40; behavioural, k = 8, OR = 1.15, 95% CI = 1.05-1.25; personality: k = 12, OR = 1.26, 95% CI = 1.02-1.54), but not for the psychodynamic theories (k = 4, OR = 1.29, 95% CI = 0.83-1.99). Pooled hazard ratios of the theories were not significant. There were no articles identified for the diathesis-stress theor",SYNERGY,38114,62,0.0016266988508159732,False
synergy_bos_2018,Cerebral small vessel disease dementia risk population,"Cerebral small vessel disease is increasingly linked to dementia.We systematically searched Medline, Embase, and Cochrane databases for prospective population-based studies addressing associations of white matter hyperintensities, covert brain infarcts (i.e., clinically silent infarcts), and cerebral microbleeds with risk of all-dementia or Alzheimer's disease and performed meta-analyses.We identified 11 studies on white matter hyperintensities, covert brain infarcts, or cerebral microbleeds with risk of all-dementia or Alzheimer's disease. Pooled analyses showed an association of white matter hyperintensity volume and a borderline association of covert brain infarcts with risk of all-dementia (hazard ratio: 1.39 [95% confidence interval: 1.00; 1.94], N = 3913, and 1.47 [95% confidence interval: 0.97; 2.22], N = 8296). Microbleeds were not statistically significantly associated with an increased risk of all-dementia (hazard ratio: 1.25 [95% confidence interval: 0.66; 2.38], N = 8739).White matter hyperintensities are associated with an increased risk of all-dementia and Alzheimer's disease in the general population. However, studies are warranted to further determine the role of ma",SYNERGY,4877,10,0.002050440844781628,True
synergy_leenaars_2019,Microdialysis Neurotransmitters Sleep and Sleep Deprivation,"Sleep seems essential to proper functioning of the prefrontal cortex (PFC). The role of different neurotransmitters has been studied, mainly the catecholamines and serotonin. Less attention has been paid to the amino acid transmitters and histamine. Here, we focus on the activity of these molecules in the PFC during sleep and sleep deprivation (SD). We determined extracellular concentrations of histamine and 8 amino acids in the medial PFC before, during and after SD. Additionally, we systematically reviewed the literature on studies reporting microdialysis measurements relating to sleep throughout the brain. In our experiment, median concentrations of glutamate were higher during SD than during baseline (p = 0.013) and higher during the dark-active than during the resting phase (p = 0.003). Glutamine was higher during post-SD recovery than during baseline (p = 0.010). For other compounds, no differences were observed between light and dark circadian phase, and between sleep deprivation, recovery and baseline. We retrieved 13 papers reporting on one or more of the molecules of interest during naturally occurring sleep, 2 during sleep deprivation and 2 during both. Only two studies ",SYNERGY,5812,17,0.0029249827942188574,True
synergy_wolters_2018,Coronary Heart Disease Heart Failure Dementia Risk,"Cardiovascular risk factors are closely linked with dementia risk, but whether heart disease predisposes to dementia is uncertain.We systematically reviewed the literature and meta-analyzed risk estimates from longitudinal studies reporting the association of coronary heart disease (CHD) or heart failure (HF) with risk of dementia.We identified 16 studies (1,309,483 individuals) regarding CHD, and seven studies (1,958,702 individuals) about HF. A history of CHD was associated with a 27% increased risk of dementia (pooled relative risk [RR] [95% confidence interval, CI]: 1.27 [1.07-1.50]), albeit with considerable heterogeneity across studies (I2 = 80%). HF was associated with 60% increased dementia risk (pooled RR 1.60 [1.19-2.13]) with moderate heterogeneity (I2 = 59%). Among prospective population-based cohorts, pooled estimates were similar (for CHD, RR 1.26 [1.06-1.49], nine studies; and HF, RR 1.80 [1.41-2.31], four studies) and highly consistent (I2 = 0%).CHD and HF are associated with an increased risk of dementia.",SYNERGY,4278,19,0.004441327723235157,True
synergy_chou_2004,Comparative efficacy and safety of skeletal muscle relaxants,"Skeletal muscle relaxants are a heterogeneous group of medications used to treat two different types of underlying conditions: spasticity from upper motor neuron syndromes and muscular pain or spasms from peripheral musculoskeletal conditions. Although widely used for these indications, there appear to be gaps in our understanding of the comparative efficacy and safety of different skeletal muscle relaxants. This systematic review summarizes and assesses the evidence for the comparative efficacy and safety of skeletal muscle relaxants for spasticity and musculoskeletal conditions. Randomized trials (for comparative efficacy and adverse events) and observational studies (for adverse events only) that included oral medications classified as skeletal muscle relaxants by the FDA were sought using electronic databases, reference lists, and pharmaceutical company submissions. Searches were performed through January 2003. The validity of each included study was assessed using a data abstraction form and predefined criteria. An overall grade was allocated for the body of evidence for each key question. A total of 101 randomized trials were included in this review. No randomized trial was r",SYNERGY,1630,9,0.005521472392638037,True
synergy_chou_2003,Long-acting opioids for chronic non-cancer pain,"Opioids have been endorsed as appropriate treatment for refractory chronic non-cancer pain when used according to published guidelines. They are widely used for this indication. However, there appear to be gaps in our understanding of the efficacy and safety of individual long-acting opioids compared to each other or as a class compared to short-acting opioids. This systematic review summarizes and assesses the evidence for the comparative efficacy and safety of long-acting opioids in the management of chronic non-cancer pain. Randomized trials (for comparative efficacy and adverse events) and observational studies (for adverse events only) that included non-parenteral long-acting opioids were sought using electronic databases, handsearching reference lists, and soliciting pharmaceutical company submissions. Searches were performed through October 2002. The validity of each included study was assessed using a data abstraction form and predefined criteria. An overall grade was allocated for the body of evidence for each key question. A total of 16 randomized trials (comparative efficacy and adverse events), enrolling 1427 patients, and 8 observational studies (adverse events) of 119",SYNERGY,1907,15,0.007865757734661772,True
synergy_van_dis_2020,Long-term CBT outcomes for anxiety disorders,"Importance Cognitive behavioral therapy is recommended for anxiety-related disorders, but evidence for its long-term outcome is limited. Objective This systematic review and meta-analysis aimed to assess the long-term outcomes after cognitive behavioral therapy (compared with care as usual, relaxation, psychoeducation, pill placebo, supportive therapy, or waiting list) for anxiety disorders, posttraumatic stress disorder (PTSD), and obsessive-compulsive disorder (OCD). Data Sources English-language publications were identified from PubMed, PsycINFO, Embase, Cochrane, OpenGrey (1980 to January 2019), and recent reviews. The search strategy included a combination of terms associated with anxiety disorders (eg,panicorphobi*) and study design (eg,clinical trialorrandomized controlled trial). Study Selection Randomized clinical trials on posttreatment and at least 1-month follow-up effects of cognitive behavioral therapy compared with control conditions among adults with generalized anxiety disorder, panic disorder with or without agoraphobia, social anxiety disorder, specific phobia, PTSD, or OCD. Data Extraction and Synthesis Researchers independently screened records, extracted stati",SYNERGY,9128,72,0.007887817703768623,False
synergy_radjenovic_2013,Software Fault Prediction Metrics Systematic Review,ContextSoftware metrics may be used in fault prediction models to improve software quality by predicting fault location. ObjectiveThis paper aims to identify software metrics and to assess their applicability in software fault prediction. We investigated the influence of context on metrics' selection and performance. MethodThis systematic literature review includes 106 papers published between 1991 and 2011. The selected papers are classified according to metrics and context properties. ResultsObject-oriented metrics (49%) were used nearly twice as often compared to traditional source code metrics (27%) or process metrics (24%). Chidamber and Kemerer's (CK) object-oriented metrics were most frequently used. According to the selected studies there are significant differences between the metrics used in fault prediction performance. Object-oriented and process metrics have been reported to be more successful in finding faults compared to traditional size and complexity metrics. Process metrics seem to be better at predicting post-release faults compared to any static code metrics. ConclusionMore studies should be performed on large industrial software systems to find metrics more rel,SYNERGY,5935,48,0.008087615838247682,False
synergy_van_de_schoot_2018,Bayesian trajectory analysis PTSD informed priors,"There is a recent increase in interest of Bayesian analysis. However, little effort has been made thus far to directly incorporate background knowledge via the prior distribution into the analyses. This process might be especially useful in the context of latent growth mixture modeling when one or more of the latent groups are expected to be relatively small due to what we refer to as limited data. We argue that the use of Bayesian statistics has great advantages in limited data situations, but only if background knowledge can be incorporated into the analysis via prior distributions. We highlight these advantages through a data set including patients with burn injuries and analyze trajectories of posttraumatic stress symptoms using the Bayesian framework following the steps of the WAMBS-checklist. In the included example, we illustrate how to obtain background information using previous literature based on a systematic literature search and by using expert knowledge. Finally, we show how to translate this knowledge into prior distributions and we illustrate the importance of conducting a prior sensitivity analysis. Although our example is from the trauma field, the techniques we i",SYNERGY,4544,38,0.008362676056338027,True
synergy_appenzeller-herzog_2019,Comparative effectiveness of Wilson disease therapies,"Wilson disease (WD) is a rare disorder of copper metabolism. The objective of this systematic review was to determine the comparative effectiveness and safety of common treatments of WD.We included WD patients of any age or stage and the study drugs D-penicillamine, zinc salts, trientine and tetrathiomolybdate. The control could be placebo, no treatment or any other treatment. We included prospective, retrospective, randomized and non-randomized studies. We searched Medline and Embase via Ovid, the Cochrane Central Register of Controlled Trials, and screened reference lists of included articles. Where possible, we applied random-effects meta-analyses.The 23 included studies reported on 2055 patients and mostly compared D-penicillamine to no treatment, zinc, trientine or succimer. One study compared tetrathiomolybdate and trientine. Post-decoppering maintenance therapy was addressed in one study only. Eleven of 23 studies were of low quality. When compared to no treatment, D-penicillamine was associated with a lower mortality (odds ratio 0.013; 95% CI 0.0010 to 0.17). When compared to zinc, there was no association with mortality (odds ratio 0.73; 95% CI 0.16 to 3.40) and prevention",SYNERGY,2841,26,0.009151707145371349,True
